Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
04/06/2022 11:03:00,0,,0,,0,,0,,,,
04/05/2022 07:58:00,0,,0,,0,,0,,,,
03/25/2022 07:08:00,0,,0,,0,,0,,,,
03/18/2022 16:54:00,0,,0,,0,,0,,,,
03/18/2022 16:47:00,0,,0,,0,,0,,,,
03/18/2022 16:47:00,0,,0,,0,,0,,,,
03/18/2022 16:28:00,0,,0,,0,,0,,,,
03/18/2022 16:22:00,0,,0,,0,,0,,,,
03/18/2022 15:42:00,0,,0,,0,,0,,,,
01/02/2022 10:59:00,0,,0,,0,,0,,,,
01/02/2022 10:46:00,0,,0,,0,,0,,,,
12/22/2021 09:31:00,0,,0,,0,,0,,,,
12/22/2021 09:26:00,0,,0,,0,,0,,,,
12/09/2021 14:57:00,0,,0,,0,,0,,,,
12/04/2021 18:43:00,0,,0,,0,,0,,,,
12/04/2021 07:49:00,0,,0,,0,,0,,,,
12/04/2021 07:26:00,0,,0,,0,,0,,,,
11/29/2021 17:44:00,0,,0,,0,,0,,,,
11/20/2021 13:54:00,0,,0,,0,,0,,,,
11/14/2021 22:21:00,0,,0,,0,,0,,,,
11/14/2021 20:54:00,0,,0,,0,,0,,,,
11/12/2021 08:17:00,0,,0,,0,,0,,,,
10/27/2021 19:15:00,0,,0,,0,,0,,,,
07/29/2021 14:06:00,0,,0,,0,,0,,,,
04/25/2021 12:01:00,0,,0,,0,,0,,,,
04/24/2021 23:55:00,0,,0,,0,,0,,,,
04/24/2021 23:54:00,0,,0,,0,,0,,,,
04/23/2021 01:50:00,0,,0,,0,,0,,,,
04/23/2021 01:50:00,0,,0,,0,,0,,,,
04/18/2021 07:41:00,0,,0,,0,,0,,,,
04/18/2021 07:41:00,0,,0,,0,,0,,,,
04/18/2021 03:22:00,0,,0,,0,,0,,,,
04/18/2021 03:22:00,0,,0,,0,,0,,,,
04/18/2021 03:20:00,0,,0,,0,,0,,,,
04/18/2021 03:19:00,0,,0,,0,,0,,,,
04/16/2021 07:45:00,0,,0,,0,,0,,,,
04/15/2021 21:16:00,0,,0,,0,,0,,,,
04/15/2021 21:15:00,0,,0,,0,,0,,,,
04/14/2021 19:27:00,0,,0,,0,,0,,,,
04/14/2021 19:26:00,0,,0,,0,,0,,,,
04/14/2021 16:37:00,0,,0,,0,,0,,,,
04/14/2021 16:34:00,0,,0,,0,,0,,,,
04/14/2021 15:25:00,0,,0,,0,,0,,,,
04/14/2021 15:24:00,0,,0,,0,,0,,,,
03/22/2021 21:05:00,0,,0,,0,,0,,,,
03/09/2021 13:39:00,0,,0,,0,,0,,,,
03/08/2021 20:26:00,0,,0,,0,,0,,,,
03/07/2021 21:12:00,0,,0,,0,,0,,,,
03/03/2021 19:08:00,0,,0,,0,,0,,,,
03/03/2021 19:07:00,0,,0,,0,,0,,,,
02/27/2021 23:02:00,0,,0,,0,,0,,,,
02/27/2021 23:01:00,0,,0,,0,,0,,,,
02/23/2021 10:31:00,0,,0,,0,,0,,,,
02/23/2021 10:30:00,0,,0,,0,,0,,,,
02/22/2021 10:09:00,0,,0,,0,,0,,,,
02/20/2021 16:32:00,0,,0,,0,,0,,,,
02/18/2021 20:02:00,0,,0,,0,,0,,,,
02/18/2021 20:01:00,0,,0,,0,,0,,,,
02/18/2021 19:00:00,0,,0,,0,,0,,,,
02/18/2021 18:59:00,0,,0,,0,,0,,,,
02/18/2021 17:17:00,0,,0,,0,,0,,,,
02/18/2021 10:41:00,0,,0,,0,,0,,,,
02/18/2021 10:40:00,0,,0,,0,,0,,,,
02/16/2021 06:38:00,0,,0,,0,,0,,,,
02/16/2021 05:46:00,0,,0,,0,,0,,,,
02/15/2021 21:10:00,0,,0,,0,,0,,,,
02/15/2021 21:02:00,0,,0,,0,,0,,,,
02/15/2021 20:57:00,0,,0,,0,,0,,,,
02/15/2021 14:18:00,0,,0,,0,,0,,,,
02/15/2021 14:07:00,0,,0,,0,,0,,,,
